Species,Weight,Length1,Length2,Length3,Height,Width,Volume,Density,Length_Avg,Height_Width_Ratio,Length_Diff_1_2,Length_Diff_2_3,Species_Encoded
Bream,242.0,23.2,25.4,30.0,11.52,4.02,1074.4012799999998,0.22524151754406185,26.2,2.8649589654314846,2.1999999999999993,4.600000000000001,0
Bream,290.0,24.0,26.3,31.2,12.48,4.3056,1289.613312,0.2248734348723636,27.166666666666668,2.897877676125017,2.3000000000000007,4.899999999999999,0
Bream,340.0,23.9,26.5,31.1,12.3778,4.6961,1389.244539262,0.2447371543698575,27.166666666666668,2.6352004428264246,2.6000000000000014,4.600000000000001,0
Bream,363.0,26.3,29.0,33.5,12.73,4.4555,1491.6969445000002,0.24334685271801013,29.599999999999998,2.8565017390328733,2.6999999999999993,4.5,0
Bream,430.0,26.5,29.0,34.0,12.444,5.134,1693.0186440000002,0.25398405832082593,29.833333333333332,2.4233690360272635,2.5,5.0,0
Bream,450.0,26.8,29.7,34.7,13.6024,4.9274,1796.2556823679997,0.2505209886856295,30.400000000000002,2.760003246489733,2.8999999999999986,5.0000000000000036,0
Bream,500.0,26.8,29.7,34.5,14.1795,5.2785,2005.8859521000002,0.24926629064341874,30.333333333333332,2.685765697509234,2.8999999999999986,4.800000000000001,0
Bream,390.0,27.6,30.0,35.0,12.67,4.69,1640.0554800000002,0.23779668856282313,30.866666666666664,2.7009166489021528,2.3999999999999986,5.0,0
Bream,450.0,27.6,30.0,35.1,14.0049,4.8438,1872.2993955119998,0.24034604761002729,30.900000000000002,2.890707562747688,2.3999999999999986,5.100000000000001,0
Bream,500.0,28.5,30.7,36.2,14.2266,4.9594,2010.8289011399997,0.2486535532998266,31.8,2.8680348359003305,2.1999999999999993,5.5000000000000036,0
Bream,475.0,28.4,31.0,36.2,14.2628,5.1042,2067.5252187839997,0.2297431566693107,31.866666666666664,2.7937788921100055,2.6000000000000014,5.200000000000003,0
Bream,500.0,28.7,31.0,36.2,14.3714,4.8146,1985.8259680280003,0.2517842732776051,31.96666666666667,2.9843425533682195,2.3000000000000007,5.200000000000003,0
Bream,500.0,29.1,31.5,36.4,13.7592,4.368,1748.9154009600002,0.2858913094562692,32.333333333333336,3.1492790112153806,2.3999999999999986,4.899999999999999,0
Bream,340.0,29.5,32.0,37.3,13.9129,5.0728,2082.03209404,0.16330191915454148,32.93333333333333,2.742106507942765,2.5,5.299999999999997,0
Bream,600.0,29.4,32.0,37.2,14.9544,5.1708,2273.390618688,0.26392285212446887,32.86666666666667,2.8915271278858423,2.6000000000000014,5.200000000000003,0
Bream,600.0,29.4,32.0,37.2,15.438,5.58,2532.6347760000003,0.2369073380727604,32.86666666666667,2.766170937108045,2.6000000000000014,5.200000000000003,0
Bream,700.0,30.4,33.0,38.3,14.8604,5.2854,2387.7120080639997,0.29316756144306155,33.9,2.8110623486682806,2.6000000000000014,5.299999999999997,0
Bream,700.0,30.4,33.0,38.5,14.938,5.1975,2360.263752,0.2965768985902307,33.96666666666667,2.8735212080407813,2.6000000000000014,5.5,0
